PLACES,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
AFFI, 32, 33, 34, 34, 34, 34, 34, 34, 34, 34, 35, 35, 35, 34, 35, 35, 35, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 37, 37, 37, 38, 38, 38
AFRAGOLA, 26, 26, 27, 27, 27, 27, 27, 28, 28, 28, 29, 29, 29, 29, 30, 30, 30, 30, 31, 31, 31, 32, 32, 32, 32, 33, 33, 33, 34, 34, 31, 32, 32, 32, 32, 33
AFRICO, 29, 29, 30, 30, 30, 30, 30, 31, 31, 31, 32, 32, 32, 32, 32, 32, 32, 33, 33, 33, 33, 34, 34, 35, 35, 35, 36, 37, 37, 37, 34, 34, 34, 35, 35, 35
AGAZZANO, 44, 45, 45, 44, 45, 45, 45, 46, 47, 47, 47, 47, 46, 46, 47, 47, 47, 46, 47, 47, 46, 46, 46, 46, 46, 46, 45, 45, 45, 46, 46, 46, 46, 46, 46, 46
AGEROLA, 32, 32, 32, 33, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 37, 37, 38, 38, 38, 38
AGIRA, 35, 35, 34, 34, 34, 34, 34, 34, 34, 34, 35, 35, 35, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 37, 37, 37, 38, 38, 38
AGLIANA, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 40, 40, 40, 40, 40, 40
AGLIANO TERME, 44, 44, 44, 44, 44, 45, 45, 44, 45, 44, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 44, 44, 44, 44, 44, 44, 44, 45, 45, 45, 44, 44, 44, 44, 44, 44
AGLIÈ, 40, 40, 40, 40, 39, 40, 40, 40, 40, 41, 42, 42, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 43, 43, 43, 44, 44, 44, 45, 44, 44, 44, 43, 43, 43
AGNADELLO, 33, 33, 34, 34, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 38, 37, 38, 38, 38, 38, 38, 38, 38, 37, 38, 37, 37, 38, 38
AGNANA CALABRA, 36, 36, 35, 35, 35, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 39, 40, 40, 40, 40, 41, 41, 42, 42, 42, 42, 42, 40, 40, 40, 40, 41, 43
AGNA, 35, 36, 36, 36, 36, 37, 37, 38, 38, 39, 39, 39, 40, 40, 39, 40, 40, 40, 40, 40, 40, 41, 40, 41, 41, 41, 42, 41, 42, 42, 40, 40, 41, 41, 41, 41
AGNONE, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 42, 42, 42, 43, 43, 41, 41, 41, 41, 42, 42
AGNOSINE, 32, 33, 33, 33, 34, 34, 35, 35, 35, 35, 36, 37, 37, 37, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 40, 40, 40, 41, 42, 38, 38, 38, 38, 39, 40
AGORDO, 34, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 42, 42, 42, 42, 43, 43, 40, 40, 41, 41, 42, 42
AGOSTA, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 39, 39, 38, 39, 39, 39, 38, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 39, 40, 39, 39, 39, 40
AGRATE CONTURBIA, 42, 42, 41, 42, 42, 41, 42, 41, 42, 41, 42, 42, 42, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 40, 40, 41, 41, 41, 41, 40, 40, 41
AGRA, 40, 41, 41, 41, 42, 41, 41, 41, 41, 42, 41, 42, 41, 40, 42, 42, 42, 41, 43, 43, 43, 44, 44, 43, 44, 44, 45, 45, 45, 45, 44, 44, 44, 44, 45, 46
AGROPOLI, 31, 31, 32, 32, 32, 32, 32, 33, 33, 33, 34, 34, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 37, 37, 37, 38, 38, 39
AGUGLIANO, 34, 35, 35, 35, 35, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 38, 38, 39, 39, 39, 39
AGUGLIARO, 34, 35, 35, 35, 36, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 40, 40, 39, 40, 40, 40, 40, 40
AIDOMAGGIORE, 41, 42, 42, 42, 42, 42, 42, 42, 42, 43, 44, 44, 45, 45, 45, 47, 47, 46, 45, 46, 46, 47, 48, 48, 47, 48, 49, 49, 49, 49, 46, 47, 48, 48, 47, 48
AIDONE, 33, 33, 33, 33, 34, 34, 34, 34, 34, 35, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 40, 40, 41, 40, 41, 41, 41, 42, 42, 39, 40, 40, 40, 41, 41
AIELLI, 39, 39, 40, 40, 40, 40, 40, 40, 41, 40, 41, 41, 42, 42, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 44, 45, 44, 45, 45, 45, 43, 43, 43, 43, 44, 44
AIELLO CALABRO, 35, 35, 36, 36, 37, 38, 38, 38, 38, 39, 40, 39, 39, 40, 40, 41, 41, 41, 41, 42, 42, 42, 43, 43, 44, 44, 44, 44, 44, 44, 42, 42, 43, 44, 45, 44
AIELLO DEL FRIULI, 38, 38, 38, 39, 39, 39, 40, 40, 41, 41, 42, 42, 42, 43, 43, 43, 44, 44, 44, 44, 45, 44, 44, 45, 45, 45, 45, 45, 45, 45, 45, 45, 44, 45, 45, 45
AIELLO DEL SABATO, 33, 33, 33, 34, 34, 34, 34, 35, 35, 35, 35, 35, 35, 36, 35, 36, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 37, 37, 37, 38, 38, 38
AIETA, 33, 34, 34, 34, 35, 35, 36, 37, 38, 38, 38, 39, 40, 40, 40, 41, 41, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 44, 43, 43, 42, 42, 43, 42, 43, 42
AILANO, 35, 35, 36, 35, 36, 36, 37, 37, 37, 37, 38, 38, 39, 40, 40, 41, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 42, 43, 43, 43, 42, 42, 43, 43, 43, 43
AILOCHE, 39, 38, 38, 38, 39, 40, 41, 41, 40, 40, 41, 40, 40, 42, 42, 43, 43, 44, 43, 43, 43, 43, 44, 43, 43, 42, 44, 44, 44, 44, 42, 43, 44, 43, 44, 44
AIRASCA, 28, 28, 29, 29, 29, 30, 31, 31, 31, 32, 33, 33, 34, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 39, 40, 37, 37, 37, 37, 38, 38
AIROLA, 32, 32, 32, 31, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 36, 37, 37, 37, 37, 37
AIROLE, 43, 42, 43, 42, 44, 44, 44, 43, 43, 45, 47, 47, 47, 47, 47, 46, 47, 48, 48, 46, 46, 46, 44, 44, 45, 45, 44, 45, 46, 45, 46, 47, 45, 46, 45, 45
AIRUNO, 33, 34, 34, 34, 35, 35, 36, 35, 36, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 40, 39, 40, 40, 40, 40, 40, 40, 39, 39, 39, 39, 39, 39
AISONE, 47, 48, 48, 46, 47, 46, 46, 47, 48, 47, 48, 47, 47, 47, 47, 47, 47, 48, 48, 48, 48, 49, 49, 47, 47, 47, 47, 48, 49, 48, 48, 48, 49, 47, 47, 47
ALA DI STURA, 39, 39, 40, 39, 39, 40, 40, 40, 40, 39, 40, 41, 41, 40, 40, 41, 42, 41, 42, 41, 40, 40, 40, 40, 40, 41, 42, 42, 43, 43, 41, 41, 42, 41, 41, 41
ALAGNA VALSESIA, 36, 34, 34, 35, 33, 35, 34, 35, 35, 37, 38, 39, 39, 40, 41, 41, 41, 40, 39, 40, 40, 41, 42, 42, 42, 44, 44, 45, 45, 45, 40, 41, 42, 42, 42, 44
ALAGNA, 41, 41, 41, 42, 40, 40, 39, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 42, 42, 42, 40, 40, 40, 40, 41, 41
ALANNO, 37, 38, 37, 37, 38, 38, 38, 38, 38, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 43, 43, 43, 41, 41, 42, 42, 42, 42
ALANO DI PIAVE, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 39, 38, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 39
ALASSIO, 40, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 45, 45, 45, 45, 45, 45, 45, 45, 45, 46, 46, 45, 45, 45, 45, 45, 45
ALATRI, 32, 33, 33, 33, 33, 33, 33, 33, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 37, 37, 38, 38, 38, 38
ALA, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 39, 38, 38, 38, 38, 38, 38
ALBA ADRIATICA, 34, 34, 34, 34, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 41, 41, 39, 40, 40, 40, 40, 40
ALBAGIARA, 42, 44, 42, 43, 43, 42, 44, 45, 45, 45, 43, 42, 42, 41, 43, 44, 44, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 46, 45, 47, 42, 44, 44, 44, 45, 45
ALBAIRATE, 33, 33, 33, 34, 34, 34, 34, 34, 34, 35, 36, 35, 36, 36, 36, 36, 37, 37, 36, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 37, 37, 38, 38, 38, 38
ALBANELLA, 35, 35, 35, 35, 35, 35, 35, 35, 36, 36, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 38, 39, 39, 39, 39, 40
ALBANO DI LUCANIA, 33, 34, 33, 34, 34, 34, 35, 36, 36, 35, 36, 36, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 39, 40, 40, 41, 42, 39, 39, 39, 39, 39, 39
ALBANO LAZIALE, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 38, 38, 38, 38, 39, 39
ALBANO SANT'ALESSANDRO, 29, 29, 30, 30, 30, 31, 31, 32, 32, 33, 33, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 38, 36, 36, 36, 37, 37, 37
ALBANO VERCELLESE, 42, 42, 42, 43, 41, 42, 41, 42, 42, 43, 43, 44, 43, 43, 44, 45, 45, 46, 44, 43, 44, 44, 44, 45, 45, 45, 45, 45, 45, 45, 44, 45, 44, 45, 45, 45
ALBAREDO ARNABOLDI, 43, 42, 44, 43, 44, 41, 42, 44, 43, 43, 45, 43, 43, 43, 44, 45, 46, 46, 47, 47, 47, 46, 44, 45, 43, 43, 43, 43, 44, 43, 47, 46, 44, 45, 43, 43
ALBAREDO D'ADIGE, 34, 34, 34, 34, 34, 35, 35, 35, 36, 36, 36, 36, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 39, 39, 39, 39, 39, 39
ALBAREDO PER SAN MARCO, 32, 31, 31, 31, 32, 33, 32, 33, 33, 33, 35, 35, 36, 37, 37, 38, 38, 39, 40, 40, 42, 42, 43, 43, 44, 45, 45, 45, 46, 46, 42, 42, 43, 43, 44, 44
ALBARETO, 44, 44, 45, 45, 45, 45, 45, 46, 46, 46, 47, 46, 46, 46, 46, 46, 46, 47, 47, 47, 46, 46, 46, 46, 46, 46, 47, 47, 47, 48, 47, 47, 46, 47, 47, 47
ALBARETTO DELLA TORRE, 41, 43, 42, 30, 34, 34, 34, 34, 34, 34, 38, 38, 40, 38, 38, 38, 39, 38, 39, 42, 42, 43, 42, 43, 44, 45, 46, 46, 47, 45, 42, 43, 43, 44, 45, 45
ALBAVILLA, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 39, 39, 39, 40, 40, 40
ALBA, 35, 36, 36, 36, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 43, 41, 41, 41, 41, 42, 42
ALBENGA, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 42, 42, 42, 42, 42, 43
ALBERA LIGURE, 50, 51, 52, 51, 52, 52, 53, 53, 54, 53, 53, 53, 53, 52, 53, 53, 52, 52, 53, 54, 55, 55, 54, 54, 54, 55, 56, 55, 55, 55, 55, 55, 55, 55, 55, 56
ALBEROBELLO, 34, 34, 34, 34, 34, 34, 35, 35, 35, 35, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 39, 39, 40, 40, 40, 41
ALBERONA, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 42, 43, 43, 42, 42, 43, 43, 44, 43, 43, 44, 44, 44, 42, 43, 43, 43, 44, 43
ALBESE CON CASSANO, 35, 35, 35, 35, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 41, 41, 42, 42, 42, 42
ALBETTONE, 33, 35, 35, 34, 35, 34, 34, 35, 34, 34, 35, 35, 35, 35, 35, 35, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 40, 37, 37, 37, 38, 38, 38
