PLACES,ABRUZZO,AGRIGENTO,ALESSANDRIA,ANCONA,AOSTA,AREZZO,ASCOLI PICENO,ASTI,AVELLINO,BARI,BASILICATA,BELLUNO,BENEVENTO,BERGAMO,BIELLA,BOLOGNA,BOLZANO,BRESCIA,BRINDISI,CAGLIARI,CALABRIA,CALTANISSETTA,CAMPANIA,CAMPOBASSO,CASERTA,CATANIA,CATANZARO,CHIETI,COMO,COSENZA,CREMONA,CROTONE,CUNEO,EMILIA-ROMAGNA,ENNA,FERRARA,FIRENZE,FOGGIA,FRIULI VENEZIA GIULIA,FROSINONE,GENOVA,GORIZIA,GROSSETO,IMPERIA,ISERNIA,ITALIA,L'AQUILA,LA SPEZIA,LATINA,LAZIO,LECCE,LECCO,LIGURIA,LIVORNO,LODI,LOMBARDIA,LUCCA,MACERATA,MANTOVA,MARCHE,MASSA-CARRARA,MATERA,MESSINA,MILANO,MODENA,MOLISE,NAPOLI,NOVARA,NUORO,ORISTANO,PADOVA,PALERMO,PARMA,PAVIA,PERUGIA,PESARO E URBINO,PESCARA,PIACENZA,PIEMONTE,PISA,PISTOIA,PORDENONE,POTENZA,PRATO,PUGLIA,RAGUSA,RAVENNA,REGGIO DI CALABRIA,REGGIO NELL'EMILIA,RIETI,RIMINI,ROMA,ROVIGO,SALERNO,SARDEGNA,SASSARI,SAVONA,SICILIA,SIENA,SIRACUSA,SONDRIO,TARANTO,TERAMO,TERNI,TORINO,TOSCANA,TRAPANI,TRENTINO ALTO ADIGE,TRENTO,TREVISO,TRIESTE,UDINE,UMBRIA,VALLE D'AOSTA,VARESE,VENETO,VENEZIA,VERBANO-CUSIO-OSSOLA,VERCELLI,VERONA,VIBO VALENTIA,VICENZA,VITERBO
A_1962, 32, 35, 42, 39, 39, 40, 39, 42, 36, 34, 29, 39, 36, 35, 40, 41, 35, 36, 34, 34, 27, 35, 28, 38, 32, 34, 34, 38, 37, 35, 39, 32, 40, 34, 36, 41, 40, 34, 35, 36, 42, 40, 41, 41, 38, 32, 38, 42, 35, 31, 35, 36, 37, 40, 38, 33, 40, 40, 39, 33, 40, 35, 36, 37, 39, 31, 32, 38, 35, 36, 37, 34, 41, 40, 40, 39, 37, 42, 36, 40, 40, 38, 36, 38, 28, 36, 41, 35, 40, 40, 38, 37, 39, 34, 29, 35, 42, 30, 42, 35, 36, 34, 37, 41, 38, 35, 36, 31, 37, 37, 42, 39, 33, 34, 37, 31, 38, 38, 41, 37, 34, 36, 39
A_1963, 32, 35, 43, 40, 39, 41, 39, 42, 36, 34, 29, 39, 37, 36, 40, 42, 35, 36, 34, 34, 28, 35, 28, 38, 32, 34, 35, 38, 37, 35, 39, 32, 40, 34, 36, 41, 41, 34, 35, 37, 42, 41, 41, 42, 38, 32, 39, 42, 35, 31, 35, 37, 37, 40, 38, 33, 40, 40, 40, 33, 40, 35, 37, 38, 40, 32, 32, 39, 36, 37, 37, 34, 41, 41, 40, 39, 38, 42, 36, 40, 40, 38, 36, 38, 29, 36, 42, 35, 40, 40, 38, 37, 39, 35, 29, 35, 42, 30, 43, 35, 36, 34, 37, 41, 39, 35, 36, 31, 37, 37, 42, 39, 34, 34, 37, 31, 38, 39, 41, 37, 34, 36, 39
A_1964, 32, 36, 43, 40, 40, 41, 39, 42, 36, 34, 29, 39, 37, 36, 40, 42, 35, 37, 35, 35, 28, 35, 28, 38, 33, 34, 35, 39, 37, 35, 39, 33, 40, 35, 36, 42, 41, 34, 35, 37, 42, 41, 42, 42, 39, 32, 39, 42, 35, 31, 35, 37, 37, 41, 38, 33, 40, 40, 40, 33, 40, 35, 37, 38, 40, 32, 32, 39, 36, 37, 37, 35, 41, 41, 40, 40, 38, 42, 36, 40, 40, 39, 36, 39, 29, 36, 42, 35, 40, 40, 39, 37, 39, 35, 29, 36, 43, 30, 43, 35, 37, 34, 38, 41, 39, 35, 36, 31, 37, 37, 42, 40, 34, 34, 37, 31, 38, 39, 41, 38, 35, 37, 39
A_1965, 32, 36, 43, 40, 40, 41, 40, 42, 36, 34, 29, 39, 37, 36, 41, 42, 35, 37, 35, 35, 28, 35, 28, 38, 33, 34, 35, 39, 37, 35, 39, 33, 40, 35, 36, 42, 41, 35, 35, 37, 42, 41, 42, 42, 39, 32, 39, 42, 36, 31, 36, 37, 37, 41, 38, 33, 40, 41, 40, 33, 40, 36, 37, 38, 40, 32, 32, 39, 36, 37, 38, 35, 42, 41, 40, 40, 38, 42, 36, 40, 41, 39, 37, 39, 29, 36, 42, 35, 40, 40, 39, 38, 39, 35, 29, 36, 43, 30, 43, 35, 37, 35, 38, 42, 39, 35, 37, 31, 38, 38, 43, 40, 34, 34, 38, 31, 39, 39, 41, 38, 35, 37, 39
A_1966, 32, 36, 43, 40, 40, 41, 40, 42, 37, 35, 29, 40, 37, 37, 41, 42, 36, 37, 35, 36, 28, 35, 28, 39, 33, 35, 36, 39, 38, 36, 40, 33, 40, 35, 37, 42, 41, 35, 35, 37, 43, 41, 42, 42, 39, 32, 39, 42, 36, 31, 36, 38, 37, 41, 39, 33, 41, 41, 40, 33, 41, 36, 37, 39, 40, 32, 33, 39, 37, 38, 38, 35, 42, 41, 41, 40, 38, 42, 35, 41, 41, 39, 37, 39, 29, 36, 42, 36, 41, 40, 39, 38, 40, 35, 29, 36, 43, 30, 43, 36, 37, 35, 38, 42, 40, 35, 37, 31, 38, 38, 43, 40, 34, 34, 38, 31, 39, 40, 41, 38, 35, 37, 40
A_1967, 32, 36, 43, 41, 40, 41, 40, 42, 37, 35, 30, 40, 37, 37, 41, 43, 36, 38, 36, 36, 28, 35, 28, 39, 33, 35, 36, 39, 38, 36, 40, 34, 41, 35, 37, 43, 42, 35, 35, 38, 43, 41, 42, 42, 39, 32, 39, 43, 36, 31, 36, 38, 37, 42, 39, 33, 41, 41, 40, 34, 41, 36, 37, 39, 40, 32, 33, 40, 37, 38, 38, 35, 42, 41, 41, 40, 39, 43, 35, 41, 41, 39, 37, 39, 29, 37, 43, 36, 41, 40, 40, 38, 40, 36, 29, 37, 43, 30, 43, 36, 37, 35, 38, 42, 40, 36, 37, 31, 38, 38, 43, 40, 34, 34, 38, 32, 39, 40, 41, 38, 36, 37, 40
A_1968, 33, 37, 43, 41, 41, 42, 40, 42, 37, 35, 30, 40, 38, 37, 41, 43, 36, 38, 36, 36, 29, 36, 28, 39, 34, 35, 36, 39, 38, 36, 40, 34, 41, 35, 37, 43, 42, 35, 35, 38, 43, 42, 43, 43, 40, 32, 40, 43, 37, 31, 37, 38, 37, 42, 39, 32, 41, 41, 41, 34, 41, 37, 38, 39, 41, 33, 33, 40, 37, 38, 38, 35, 42, 41, 41, 41, 39, 43, 35, 41, 41, 40, 37, 40, 29, 37, 43, 36, 41, 41, 40, 39, 40, 36, 30, 37, 43, 31, 43, 36, 38, 36, 39, 42, 40, 36, 37, 31, 38, 38, 43, 41, 35, 34, 39, 32, 40, 40, 42, 39, 36, 38, 40
A_1969, 33, 37, 44, 41, 41, 42, 40, 43, 37, 36, 30, 40, 38, 37, 41, 43, 36, 38, 36, 37, 29, 36, 28, 39, 34, 35, 36, 40, 39, 37, 40, 35, 41, 35, 37, 43, 42, 36, 35, 38, 43, 42, 43, 43, 40, 32, 40, 43, 37, 31, 37, 38, 37, 42, 39, 32, 41, 41, 41, 34, 41, 37, 38, 39, 41, 33, 33, 40, 38, 39, 39, 36, 42, 42, 41, 41, 39, 43, 35, 41, 41, 40, 38, 40, 29, 37, 43, 36, 41, 41, 40, 39, 41, 36, 30, 38, 44, 31, 43, 37, 38, 36, 39, 43, 40, 36, 38, 31, 38, 38, 43, 41, 35, 35, 39, 32, 40, 40, 42, 39, 36, 38, 40
A_1970, 33, 37, 44, 41, 41, 42, 40, 43, 38, 36, 30, 41, 38, 38, 42, 43, 37, 38, 37, 37, 29, 36, 29, 39, 34, 36, 37, 40, 39, 37, 40, 35, 41, 35, 38, 43, 42, 36, 35, 38, 43, 42, 43, 43, 40, 32, 40, 43, 37, 31, 37, 39, 37, 42, 39, 32, 41, 41, 41, 34, 42, 37, 38, 40, 41, 33, 34, 40, 38, 39, 39, 36, 42, 42, 41, 41, 39, 43, 35, 41, 41, 40, 38, 40, 29, 37, 43, 37, 41, 41, 40, 39, 41, 36, 30, 38, 44, 31, 43, 37, 38, 36, 39, 43, 41, 36, 38, 31, 39, 39, 44, 41, 35, 34, 39, 32, 40, 41, 42, 39, 36, 38, 41
A_1971, 33, 37, 44, 41, 42, 42, 41, 43, 38, 36, 31, 41, 38, 38, 42, 43, 37, 38, 37, 38, 29, 37, 29, 40, 35, 36, 37, 40, 39, 38, 41, 35, 41, 36, 38, 44, 42, 36, 35, 39, 44, 42, 43, 43, 40, 32, 40, 44, 37, 32, 38, 39, 37, 43, 39, 33, 42, 41, 41, 34, 42, 38, 38, 40, 41, 33, 34, 40, 38, 39, 39, 36, 42, 42, 41, 41, 40, 43, 35, 42, 42, 40, 38, 40, 29, 37, 43, 37, 41, 41, 40, 39, 41, 37, 30, 38, 44, 31, 43, 37, 38, 37, 39, 43, 41, 36, 38, 31, 39, 39, 44, 41, 35, 34, 39, 32, 40, 41, 42, 39, 37, 38, 41
A_1972, 33, 38, 44, 41, 42, 42, 41, 43, 38, 37, 31, 41, 39, 38, 42, 43, 37, 39, 37, 38, 30, 37, 29, 40, 35, 36, 38, 40, 39, 38, 41, 36, 41, 36, 38, 44, 42, 37, 35, 39, 44, 42, 43, 44, 40, 33, 40, 44, 38, 32, 38, 39, 37, 43, 40, 33, 42, 42, 41, 34, 42, 38, 39, 40, 41, 34, 34, 41, 38, 40, 39, 37, 42, 42, 42, 41, 40, 43, 35, 42, 42, 40, 39, 40, 30, 38, 43, 37, 41, 42, 41, 39, 42, 37, 30, 39, 44, 31, 43, 38, 39, 37, 40, 43, 41, 36, 38, 31, 39, 39, 44, 41, 35, 34, 40, 32, 41, 41, 42, 39, 37, 38, 41
A_1973, 34, 38, 44, 41, 42, 42, 41, 43, 38, 37, 31, 41, 39, 38, 42, 43, 37, 39, 38, 38, 30, 37, 29, 40, 35, 37, 38, 41, 39, 38, 41, 36, 41, 36, 38, 44, 43, 37, 35, 39, 44, 42, 44, 44, 41, 33, 41, 44, 38, 32, 38, 39, 37, 43, 40, 33, 42, 42, 41, 35, 42, 38, 39, 41, 41, 34, 35, 41, 39, 40, 40, 37, 42, 42, 42, 41, 40, 43, 35, 42, 42, 40, 39, 40, 30, 38, 43, 38, 41, 42, 41, 40, 42, 37, 30, 39, 44, 31, 43, 38, 39, 38, 40, 43, 41, 36, 39, 32, 39, 39, 44, 42, 36, 34, 40, 32, 41, 41, 43, 39, 37, 39, 41
A_1974, 34, 38, 44, 42, 42, 42, 41, 43, 39, 37, 31, 41, 39, 38, 42, 43, 37, 39, 38, 39, 30, 37, 29, 40, 35, 37, 38, 41, 40, 39, 41, 37, 41, 36, 39, 44, 43, 37, 36, 40, 44, 42, 44, 44, 41, 33, 41, 44, 38, 32, 39, 40, 37, 43, 40, 33, 42, 42, 41, 35, 42, 39, 39, 41, 41, 34, 35, 41, 39, 40, 40, 37, 42, 42, 42, 41, 40, 43, 35, 42, 42, 40, 39, 41, 30, 38, 43, 38, 40, 42, 41, 40, 42, 38, 30, 39, 44, 31, 43, 38, 39, 38, 40, 43, 42, 36, 39, 32, 39, 39, 44, 42, 36, 34, 40, 32, 41, 42, 43, 40, 38, 39, 41
A_1975, 34, 38, 44, 42, 42, 42, 41, 43, 39, 38, 31, 42, 39, 39, 43, 43, 38, 39, 38, 39, 30, 38, 29, 41, 36, 37, 39, 41, 40, 39, 41, 37, 42, 36, 39, 44, 43, 37, 36, 40, 44, 42, 44, 44, 41, 33, 41, 44, 39, 32, 39, 40, 37, 43, 40, 33, 42, 42, 41, 35, 43, 39, 40, 41, 41, 34, 35, 41, 39, 41, 40, 37, 42, 42, 42, 41, 40, 43, 35, 42, 42, 40, 40, 41, 30, 38, 43, 38, 40, 42, 41, 40, 42, 38, 30, 40, 45, 32, 43, 38, 40, 38, 40, 43, 42, 36, 39, 32, 39, 39, 44, 42, 36, 35, 40, 32, 41, 42, 43, 40, 38, 39, 42
A_1976, 34, 39, 44, 42, 42, 42, 41, 43, 39, 38, 32, 42, 40, 39, 43, 43, 38, 39, 39, 39, 30, 38, 29, 41, 36, 37, 39, 41, 40, 39, 41, 37, 42, 36, 39, 44, 43, 38, 36, 40, 44, 43, 44, 44, 41, 33, 41, 44, 39, 32, 39, 40, 37, 43, 40, 33, 42, 42, 41, 35, 43, 39, 40, 41, 41, 34, 35, 41, 40, 41, 40, 38, 42, 42, 42, 41, 41, 43, 35, 42, 42, 41, 40, 41, 30, 38, 43, 38, 40, 42, 41, 40, 42, 38, 30, 40, 45, 32, 43, 39, 40, 39, 40, 44, 42, 36, 39, 32, 39, 39, 44, 42, 36, 35, 40, 32, 41, 42, 43, 40, 38, 39, 42
A_1977, 34, 39, 44, 42, 43, 43, 42, 43, 39, 38, 32, 42, 40, 39, 43, 43, 38, 39, 39, 40, 31, 38, 29, 41, 36, 38, 39, 42, 40, 40, 41, 38, 42, 36, 39, 45, 43, 38, 36, 40, 44, 43, 44, 44, 42, 33, 42, 45, 39, 32, 40, 40, 38, 44, 40, 33, 43, 42, 41, 35, 43, 39, 40, 41, 41, 34, 36, 41, 40, 41, 40, 38, 43, 42, 42, 41, 41, 43, 35, 42, 42, 41, 40, 41, 30, 39, 43, 39, 40, 43, 41, 40, 43, 38, 31, 40, 45, 32, 44, 39, 40, 39, 41, 44, 42, 37, 40, 32, 40, 40, 45, 42, 36, 35, 41, 32, 42, 42, 43, 40, 39, 39, 42
A_1978, 34, 39, 44, 42, 43, 43, 42, 43, 40, 39, 32, 42, 40, 39, 43, 43, 38, 39, 39, 40, 31, 38, 29, 41, 36, 38, 39, 42, 40, 40, 41, 38, 42, 36, 40, 45, 43, 38, 36, 41, 45, 43, 44, 44, 42, 33, 42, 45, 39, 33, 40, 40, 38, 44, 40, 33, 43, 42, 41, 35, 43, 40, 40, 41, 41, 34, 36, 41, 40, 42, 40, 38, 43, 42, 42, 41, 41, 43, 35, 42, 42, 41, 40, 41, 30, 39, 43, 39, 40, 43, 41, 40, 43, 39, 31, 41, 45, 32, 43, 39, 40, 39, 41, 44, 42, 37, 40, 32, 40, 40, 45, 42, 36, 35, 41, 33, 42, 43, 43, 40, 39, 39, 42
A_1979, 34, 39, 45, 42, 43, 43, 42, 43, 40, 39, 32, 42, 40, 39, 44, 43, 38, 40, 40, 40, 31, 38, 30, 41, 37, 38, 40, 42, 41, 40, 42, 38, 42, 37, 40, 45, 43, 39, 36, 41, 45, 43, 44, 44, 42, 33, 42, 45, 40, 33, 40, 41, 38, 44, 40, 33, 43, 42, 41, 36, 43, 40, 41, 41, 41, 35, 36, 41, 41, 42, 41, 38, 42, 42, 42, 41, 41, 43, 36, 42, 42, 41, 41, 41, 30, 39, 43, 39, 40, 43, 41, 41, 43, 39, 31, 41, 45, 32, 43, 39, 41, 40, 41, 44, 42, 37, 40, 32, 40, 40, 45, 43, 36, 35, 41, 33, 42, 43, 43, 40, 39, 40, 42
A_1980, 35, 40, 45, 42, 43, 43, 42, 43, 40, 39, 32, 43, 41, 39, 44, 43, 39, 40, 40, 41, 31, 39, 30, 42, 37, 38, 40, 42, 41, 40, 42, 38, 42, 37, 40, 45, 43, 39, 36, 41, 45, 43, 44, 44, 42, 34, 42, 45, 40, 33, 40, 41, 38, 44, 40, 33, 43, 42, 42, 36, 43, 40, 41, 42, 41, 35, 37, 42, 41, 42, 41, 39, 42, 42, 42, 42, 41, 43, 36, 42, 43, 41, 41, 41, 30, 39, 43, 39, 40, 43, 42, 41, 43, 39, 31, 41, 45, 32, 43, 40, 41, 40, 41, 44, 42, 37, 40, 33, 40, 40, 45, 43, 37, 35, 41, 33, 42, 43, 44, 40, 40, 40, 42
A_1981, 35, 40, 45, 42, 43, 43, 42, 43, 40, 40, 33, 43, 41, 40, 44, 43, 39, 40, 40, 41, 31, 39, 30, 42, 37, 39, 40, 42, 41, 41, 42, 39, 42, 37, 40, 45, 43, 39, 36, 41, 45, 44, 44, 44, 43, 34, 42, 45, 40, 33, 41, 41, 38, 44, 41, 34, 43, 42, 42, 36, 44, 41, 41, 42, 42, 35, 37, 42, 41, 43, 41, 39, 42, 43, 42, 42, 41, 43, 36, 43, 43, 41, 41, 41, 31, 39, 43, 40, 41, 43, 42, 41, 43, 40, 31, 42, 45, 32, 44, 40, 41, 40, 41, 44, 43, 37, 41, 33, 40, 40, 45, 43, 37, 35, 41, 33, 42, 43, 44, 41, 40, 40, 42
A_1982, 35, 38, 44, 41, 42, 42, 41, 43, 38, 36, 33, 41, 39, 38, 42, 43, 37, 39, 37, 38, 31, 37, 30, 40, 35, 36, 38, 40, 39, 38, 41, 36, 41, 37, 38, 44, 42, 36, 37, 39, 44, 42, 43, 43, 40, 34, 40, 44, 38, 34, 38, 39, 39, 43, 39, 34, 42, 42, 41, 36, 42, 38, 39, 40, 41, 35, 34, 40, 38, 40, 39, 37, 42, 42, 42, 41, 40, 43, 36, 42, 42, 40, 39, 40, 31, 38, 43, 37, 41, 41, 40, 39, 41, 37, 31, 38, 44, 32, 43, 38, 39, 37, 40, 43, 41, 37, 38, 33, 39, 39, 44, 41, 37, 36, 40, 34, 41, 41, 42, 39, 37, 38, 41
A_1983, 35, 38, 44, 41, 42, 42, 41, 43, 38, 37, 33, 41, 39, 38, 42, 43, 37, 39, 38, 38, 32, 37, 30, 40, 35, 37, 38, 41, 39, 38, 41, 36, 41, 38, 38, 44, 43, 37, 37, 39, 44, 42, 44, 44, 41, 34, 41, 44, 38, 34, 38, 39, 39, 43, 40, 34, 42, 42, 41, 37, 42, 38, 39, 40, 41, 35, 35, 41, 39, 40, 40, 37, 42, 42, 42, 41, 40, 43, 37, 42, 42, 40, 39, 40, 31, 38, 43, 38, 41, 42, 41, 40, 42, 37, 32, 39, 44, 33, 43, 38, 39, 38, 40, 43, 41, 38, 38, 33, 39, 39, 44, 42, 37, 36, 40, 34, 41, 41, 43, 39, 38, 38, 41
